filename,notes,authors,licenses,urls
body/bodies/male/light.png,"see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16,JaidynReiman,Benjamin K. Smith (BenCreating),Evert,Eliza Wyatt (ElizaWy),TheraHedwig,MuffinElZangano,Durrani,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases"
body/wound/eye_left.png,"Zombie by BenCreating, commissioned by castelonia; flipped (left eye) variant by JaidynReiman","JaidynReiman,Benjamin K. Smith (BenCreating),Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-zombie"
body/wheelchair/adult/background/black.png,"","Eliza Wyatt","CC-BY 3.0,OGA-BY 3.0","https://opengameart.org/content/lpc-revised-elders"
body/wheelchair/adult/foreground/black.png,"","Eliza Wyatt","CC-BY 3.0,OGA-BY 3.0","https://opengameart.org/content/lpc-revised-elders"
head/heads/human/male/light.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases"
hat/helmet/armet/adult/steel.png,"previously called helmet/armor","bluecarrot16,Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
shoulders/legion/male/bronze.png,"","Nila122","OGA-BY 3.0,CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
torso/armour/plate/male/steel.png,"original by wulax, recolor by bigbeargames, color reduced to 7 colors and adapted to v3 bases by bluecarrot16, run/jump/sit/climb/revised combat by JaidynReiman","JaidynReiman, bluecarrot16, Michael Whitlock (bigbeargames), Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-combat-armor-for-women"
cape/tattered/female/white.png,"","Nila122,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://opengameart.org/content/lpc-roman-armor"
cape/tattered_behind/white.png,"","Nila122,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://opengameart.org/content/lpc-roman-armor"
cape/trim/female/walnut.png,"isolated stripe from cape_trimmed, adapted to v3 bases by bluecarrot16","bluecarrot16,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,http://opengameart.org/content/lpc-clothing-updates"
backpack/squarepack/male/blue.png,"trivial adjustments by bluecarrot16 to be compatible with v3 bases","Benjamin K. Smith (BenCreating),macmanmatty","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-backpacks"
legs/armour/plate/male/steel.png,"reduced to 7 colors an adapted to v3 bases by bluecarrot16, climb/jump/sit/emotes by JaidynReiman","bluecarrot16,JaidynReiman,Michael Whitlock (bigbeargames),Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
shield/kite/male/kite_blue_gray.png,"","DarkwallLKE,Tuomo Untinen (reemax),Michael Whitlock (bigbeargames)","CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-kite-shield,https://opengameart.org/content/lpc-shields-pack"
